Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
DeJon Jarreau,CCG,24,1,0,5,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,1,0,0,1,0,
DaQuan Jeffries,CPS,24,1,1,31,8,11,0.727,1,3,0.333,7,8,0.875,0.773,5,6,0.833,1,3,4,2,0,2,2,2,25,
Pooh Jeter,GLI,38,12,0,223,25,62,0.403,15,41,0.366,10,21,0.476,0.524,4,4,1,1,17,18,42,15,0,12,20,72,
Amir Johnson,GLI,34,6,2,89,14,22,0.636,1,4,0.25,13,18,0.722,0.659,2,4,0.5,6,21,27,8,0,2,4,9,32,
Jaylen Johnson,MCC,25,1,0,22,8,13,0.615,4,6,0.667,4,7,0.571,0.769,1,1,1,1,8,9,1,0,2,3,0,21,
Jalen Johnson,CPS,20,1,1,39,7,13,0.538,3,5,0.6,4,8,0.5,0.654,2,2,1,0,9,9,5,1,1,3,4,21,
Shawndre Jones,MCC,27,1,0,21,3,12,0.25,1,5,0.2,2,7,0.286,0.292,0,0,,1,1,2,5,3,1,2,0,7,
Tiwian Kendley,WIS,26,1,1,30,2,11,0.182,0,4,0,2,7,0.286,0.182,1,1,1,1,3,4,3,1,0,6,2,5,
Braxton Key,DEL,24,1,1,16,4,5,0.8,1,1,1,3,4,0.75,0.9,0,0,,1,2,3,2,2,0,0,0,9,
Trey Landers,CLC,,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0,
Terry Larrier,WIS,26,1,1,29,5,11,0.455,2,5,0.4,3,6,0.5,0.545,0,1,0,0,4,4,0,0,0,1,1,12,
A.J. Lawson,CPS,21,1,0,27,2,4,0.5,0,2,0,2,2,1,0.5,1,1,1,0,6,6,2,1,0,3,2,5,
Jalen Lecque,WIS,21,1,1,34,6,14,0.429,1,3,0.333,5,11,0.455,0.464,3,3,1,0,2,2,6,0,1,1,2,17,
Kalob Ledoux,SCW,,3,1,68,6,27,0.222,4,19,0.211,2,8,0.25,0.296,3,3,1,1,4,5,7,1,0,5,6,23,
Saben Lee,MCC,22,1,1,36,7,14,0.5,3,7,0.429,4,7,0.571,0.607,0,3,0,1,7,8,15,1,0,6,0,17,
Isaiah Livers,MCC,23,1,0,18,4,6,0.667,4,6,0.667,0,0,,1,0,0,,1,4,5,1,0,1,0,2,12,
Sheldon Mac,STO,29,1,0,27,5,8,0.625,0,1,0,5,7,0.714,0.625,4,4,1,0,3,3,0,0,0,1,0,15,
Selom Mawugbe,SCW,,3,2,67,6,10,0.6,0,0,,6,10,0.6,0.6,1,2,0.5,2,17,19,1,4,6,4,3,14,
Rigoberto Mendoza,MXC,,2,2,80,15,31,0.484,6,12,0.5,9,19,0.474,0.581,1,5,0.2,3,6,9,6,6,0,5,7,38,
C.J. Miles,GLI,34,4,0,43,9,18,0.5,4,10,0.4,5,8,0.625,0.611,1,1,1,1,2,3,1,2,1,1,4,24,
Greg Monroe,CCG,31,1,1,28,8,12,0.667,0,0,,8,12,0.667,0.667,2,2,1,2,7,9,3,2,1,2,0,19,
Ade Murkey,STO,24,1,1,15,3,5,0.6,2,3,0.667,1,2,0.5,0.8,0,0,,0,0,0,2,1,1,0,3,8,
Kevin Murphy,GLI,31,11,5,239,39,92,0.424,17,51,0.333,22,41,0.537,0.516,5,7,0.714,9,19,28,21,7,1,11,31,105,
RJ Nembhard Jr.,CLC,22,1,1,31,4,13,0.308,1,6,0.167,3,7,0.429,0.346,2,5,0.4,2,6,8,2,1,0,2,4,12,
Malik Newman,CLC,24,1,1,32,10,20,0.5,6,13,0.462,4,7,0.571,0.65,2,2,1,1,5,6,3,0,0,4,2,30,
Barra Njie,DEL,,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,0,0,
Norvel Pelle,CLC,28,1,0,15,2,4,0.5,0,0,,2,4,0.5,0.5,3,3,1,1,3,4,0,0,1,0,1,10,
Eli Pemberton,SCW,24,2,2,44,5,17,0.294,1,5,0.2,4,12,0.333,0.324,4,4,1,2,5,7,5,2,1,7,5,18,
Myles Powell,DEL,24,1,1,27,6,15,0.4,5,9,0.556,1,6,0.167,0.567,2,2,1,1,7,8,10,1,0,4,3,19,
Neemias Queta,STO,22,1,1,28,9,20,0.45,0,0,,9,20,0.45,0.45,3,4,0.75,2,3,5,1,0,2,1,3,23,
Brandon Rachal,LIN,22,1,1,17,7,10,0.7,0,1,0,7,9,0.778,0.7,0,1,0,2,4,6,0,1,1,2,5,14,
Devearl Ramsey,STO,,1,0,25,2,5,0.4,2,4,0.5,0,1,0,0.6,0,0,,0,3,3,6,1,0,0,0,6,
Craig Randall II,LIN,,1,1,37,9,18,0.5,2,8,0.25,7,10,0.7,0.556,1,1,1,1,3,4,6,3,0,2,3,22,
Paul Reed,DEL,22,1,1,32,8,12,0.667,1,3,0.333,7,9,0.778,0.708,1,2,0.5,3,8,11,2,2,1,0,1,19,
Derek Reese,MXC,,2,0,26,2,4,0.5,2,3,0.667,0,1,0,0.75,0,0,,0,6,6,2,1,1,4,2,6,
Justin Reyes,MXC,26,2,2,71,14,27,0.519,7,14,0.5,7,13,0.538,0.648,3,3,1,1,4,5,4,2,1,2,4,39,
Tyler Roberson,DEL,27,1,0,4,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,1,0,1,0,1,2,
Jerome Robinson,SCW,24,2,2,49,13,23,0.565,6,10,0.6,7,13,0.538,0.696,5,5,1,0,10,10,5,3,0,3,2,38,
CJ Rodriguez,MXC,,2,0,24,2,9,0.222,0,3,0,2,6,0.333,0.222,0,0,,0,1,1,4,0,0,2,4,4,
Jordan Schakel,CCG,23,1,1,32,3,11,0.273,2,8,0.25,1,3,0.333,0.364,0,0,,1,3,4,2,0,0,0,3,8,
Tre Scott,CLC,25,1,1,31,2,8,0.25,1,5,0.2,1,3,0.333,0.313,2,3,0.667,2,7,9,1,1,2,1,0,8,
Devontae Shuler,CCG,23,1,0,7,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,0,0,0,5,
Chris Smith,MCC,,1,1,35,8,13,0.615,3,5,0.6,5,8,0.625,0.731,2,2,1,2,8,10,4,0,0,3,3,22,
Kendall Smith,SCW,26,2,1,60,12,18,0.667,3,6,0.5,9,12,0.75,0.75,2,3,0.667,1,8,9,17,3,1,7,8,30,
Garly Sojo,MXC,,1,0,34,4,9,0.444,0,4,0,4,5,0.8,0.444,1,1,1,1,5,6,0,0,2,1,1,9,
Pat Spencer,CCG,,1,0,17,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,1,0,1,2,0,0,1,0,2,
Jaden Springer,DEL,19,1,1,29,5,12,0.417,0,1,0,5,11,0.455,0.417,0,0,,0,2,2,1,1,0,5,5,10,
DJ Steward,STO,20,1,1,38,7,16,0.438,2,7,0.286,5,9,0.556,0.5,2,2,1,0,12,12,8,2,0,4,2,18,
Craig Sword,CCG,28,1,0,18,5,5,1,4,4,1,1,1,1,1.4,1,1,1,0,4,4,0,2,0,2,4,16,
Anthony Tarke,MCC,23,1,0,9,0,1,0,0,0,,0,1,0,0,0,0,,1,0,1,0,0,0,1,0,0,
Ryan Taylor,SCW,,3,2,91,12,27,0.444,12,27,0.444,0,0,,0.667,0,0,,0,7,7,3,1,0,0,4,36,
Christian Terrell,STO,,1,1,22,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,1,2,3,0,2,1,0,1,4,
Emanuel Terry,STO,25,1,0,20,5,9,0.556,0,0,,5,9,0.556,0.556,1,1,1,2,5,7,0,0,1,4,3,12,
Tre'Shawn Thurman,STO,,1,0,11,1,2,0.5,0,1,0,1,1,1,0.5,0,1,0,1,2,3,1,0,0,0,2,2,
Justin Tillman,CPS,25,1,1,37,14,24,0.583,0,0,,14,24,0.583,0.583,3,4,0.75,6,5,11,3,2,1,1,4,35,
Mike Torres,MXC,,2,2,80,13,28,0.464,5,16,0.313,8,12,0.667,0.554,3,4,0.75,0,10,10,22,0,0,3,7,36,
Jahlil Tripp,CPS,24,1,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,
Rayjon Tucker,WIS,24,1,1,38,8,11,0.727,1,3,0.333,7,8,0.875,0.773,2,3,0.667,2,9,11,4,0,0,2,2,21,
Justin Turner,MCC,23,1,1,35,2,10,0.2,1,5,0.2,1,5,0.2,0.25,1,1,1,1,4,5,3,3,0,2,1,6,
Chris Walker,LIN,27,1,0,7,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1,1,2,3,0,0,1,1,2,6,
Kyree Walker,CCG,,1,1,30,7,9,0.778,0,1,0,7,8,0.875,0.778,3,4,0.75,1,1,2,1,2,0,2,3,20,
Tyrone Wallace,LIN,27,1,0,17,2,7,0.286,0,2,0,2,5,0.4,0.286,0,1,0,0,6,6,0,2,1,1,0,4,
Derrick Walton Jr.,MCC,26,1,1,17,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,,0,0,0,3,1,0,0,0,5,
Tremont Waters,WIS,24,1,0,28,4,13,0.308,2,7,0.286,2,6,0.333,0.385,1,1,1,0,5,5,5,0,0,1,1,12,
Quinndary Weatherspoon,SCW,25,2,2,46,13,28,0.464,4,12,0.333,9,16,0.563,0.536,4,5,0.8,2,12,14,6,2,2,5,5,37,
Wenyen Gabriel,WIS,24,1,1,32,6,14,0.429,0,2,0,6,12,0.5,0.429,4,5,0.8,6,5,11,1,4,3,5,5,18,
Phillip Wheeler,MXC,,2,2,51,7,14,0.5,0,4,0,7,10,0.7,0.5,4,6,0.667,4,7,11,2,1,1,1,2,20,
Cassius Winston,CCG,23,1,0,14,3,5,0.6,2,2,1,1,3,0.333,0.8,2,2,1,0,0,0,8,0,0,5,2,11,
James Wiseman,SCW,20,1,1,20,8,17,0.471,1,2,0.5,7,15,0.467,0.5,1,4,0.25,5,9,14,0,0,2,5,3,19,
Adam Woodbury,LIN,28,1,1,25,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,5,2,7,1,2,0,3,3,2,
Fanbo Zeng,GLI,,10,7,224,24,59,0.407,10,35,0.286,14,24,0.583,0.492,3,6,0.5,8,20,28,8,2,4,12,25,62,
Muhammad-Ali Abdur-Rahkman,CAN,25,42,9,893,95,229,0.415,44,121,0.364,51,108,0.472,0.511,40,47,0.851,31,78,109,79,29,8,31,62,303,
Jaylen Adams,WIS,23,34,32,1079,250,514,0.486,87,215,0.405,163,299,0.545,0.571,89,113,0.788,34,134,168,188,60,10,127,88,710,
Jalen Adams,EBH,24,40,24,1326,294,596,0.493,100,254,0.394,194,342,0.567,0.577,54,65,0.831,32,124,156,184,52,17,121,64,759,
Deng Adel,LIN,22,28,13,663,106,222,0.477,19,62,0.306,87,160,0.544,0.52,48,61,0.787,18,102,120,73,17,10,65,35,318,
DeVaughn Akoon-Purcell,OKL,26,41,5,1105,265,536,0.494,80,203,0.394,185,333,0.556,0.569,62,80,0.775,70,202,272,77,50,12,98,77,726,
Kyle Alexander,SFL,23,23,21,577,101,146,0.692,1,3,0.333,100,143,0.699,0.695,25,35,0.714,73,136,209,22,16,50,30,68,243,
Nickeil Alexander-Walker,EBH,,2,2,70,12,34,0.353,5,11,0.455,7,23,0.304,0.426,3,5,0.6,1,10,11,9,2,0,11,3,33,
Dakarai Allen,GRR,24,43,22,1029,137,313,0.438,27,84,0.321,110,229,0.48,0.481,23,46,0.5,35,104,139,112,50,12,82,99,340,
Kadeem Allen,WES,27,24,24,690,118,299,0.395,23,88,0.261,95,211,0.45,0.433,48,58,0.828,23,92,115,123,32,16,54,66,331,
Marcus Allen,SBL,25,42,8,826,115,242,0.475,28,85,0.329,87,157,0.554,0.533,26,55,0.473,30,59,89,49,37,7,29,95,302,
Noah Allen,CCG,24,40,4,693,72,170,0.424,25,90,0.278,47,80,0.588,0.497,17,22,0.773,33,127,160,55,33,5,36,68,197,
Shizz Alston Jr.,DEL,23,23,5,357,29,86,0.337,11,42,0.262,18,44,0.409,0.401,10,12,0.833,6,36,42,69,13,0,21,27,86,
Justin Anderson,TOT,26,31,29,1042,219,458,0.478,84,237,0.354,135,221,0.611,0.57,69,93,0.742,27,178,205,83,35,17,81,81,639,
Justin Anderson,LIN,26,16,14,538,111,231,0.481,43,116,0.371,68,115,0.591,0.574,36,49,0.735,11,92,103,59,17,7,34,37,328,
Justin Anderson,RAP,26,15,15,504,108,227,0.476,41,121,0.339,67,106,0.632,0.566,33,44,0.75,16,86,102,24,18,10,47,44,311,
Ike Anigbogu,EBH,21,6,0,82,24,40,0.6,5,11,0.455,19,29,0.655,0.663,2,4,0.5,12,17,29,4,2,4,7,18,57,
Kostas Antetokounmpo,SBL,22,38,37,966,202,327,0.618,6,39,0.154,196,288,0.681,0.627,76,129,0.589,82,217,299,59,32,50,104,121,537,
Thanasis Antetokounmpo,WIS,27,2,2,59,12,29,0.414,0,6,0,12,23,0.522,0.414,5,8,0.625,8,7,15,4,2,2,8,8,34,
Isaiah Armwood,LAK,,21,10,540,49,100,0.49,1,8,0.125,48,92,0.522,0.495,20,25,0.8,39,89,128,50,26,26,34,74,134,
J.J. Avila,ACC,28,44,8,1006,146,266,0.549,30,89,0.337,116,177,0.655,0.605,34,45,0.756,98,127,225,79,42,19,29,102,381,
Yudai Baba,TEX,24,41,5,804,97,192,0.505,39,94,0.415,58,98,0.592,0.607,14,20,0.7,24,81,105,50,42,8,38,51,259,
Dwayne Bacon,GBO,24,9,9,347,101,224,0.451,28,87,0.322,73,137,0.533,0.513,30,44,0.682,19,58,77,30,6,3,27,16,286,
Nicholas Baer,RAP,23,39,3,656,77,175,0.44,33,108,0.306,44,67,0.657,0.534,2,6,0.333,52,116,168,51,30,27,17,54,189,
Cat Barber,CPS,25,39,17,1217,242,507,0.477,33,106,0.311,209,401,0.521,0.51,84,114,0.737,29,126,155,240,42,5,112,89,658,
Sedrick Barefield,OKL,23,36,4,699,112,274,0.409,65,168,0.387,47,106,0.443,0.527,21,25,0.84,5,44,49,51,20,3,29,65,324,
Canyon Barry,IWA,26,20,2,320,43,89,0.483,17,47,0.362,26,42,0.619,0.579,11,14,0.786,4,34,38,26,4,3,13,20,119,
Keita Bates-Diop,TOT,24,4,2,102,25,47,0.532,12,21,0.571,13,26,0.5,0.66,8,12,0.667,6,19,25,3,0,3,4,7,72,
Keita Bates-Diop,IWA,24,2,2,64,15,28,0.536,8,13,0.615,7,15,0.467,0.679,5,7,0.714,3,6,9,2,0,2,0,4,45,
Keita Bates-Diop,WCB,24,2,0,38,10,19,0.526,4,8,0.5,6,11,0.545,0.632,3,5,0.6,3,13,16,1,0,1,4,3,27,
Tyus Battle,IWA,22,43,20,953,127,244,0.52,36,93,0.387,91,151,0.603,0.594,35,49,0.714,24,121,145,54,28,13,31,72,350,
Devon Baulkman,GRR,28,36,4,489,69,218,0.317,41,141,0.291,28,77,0.364,0.411,12,19,0.632,9,45,54,29,14,8,27,38,199,
V.J. Beachem,WCB,25,42,5,691,80,213,0.376,49,145,0.338,31,68,0.456,0.491,19,24,0.792,13,65,78,31,24,18,28,33,242,
Dragan Bender,WIS,22,13,13,374,96,189,0.508,28,73,0.384,68,116,0.586,0.582,27,34,0.794,27,89,116,30,8,22,33,44,266,
Malik Benlevi,SLC,22,37,0,684,80,193,0.415,39,119,0.328,41,74,0.554,0.516,13,23,0.565,32,89,121,26,20,20,23,54,216,
Joel Berry,GBO,24,34,6,590,105,247,0.425,37,114,0.325,68,133,0.511,0.5,14,19,0.737,19,53,72,74,34,5,39,45,272,
Javon Bess,EBH,23,35,23,925,79,234,0.338,45,153,0.294,34,81,0.42,0.434,24,34,0.706,36,61,97,51,24,15,51,65,242,
Michael Bethea Jr.,RAP,,22,11,498,61,166,0.367,45,123,0.366,16,43,0.372,0.503,17,20,0.85,17,63,80,37,24,7,26,53,200,
Justin Bibbs,MAI,24,25,21,703,93,210,0.443,37,102,0.363,56,108,0.519,0.531,9,15,0.6,8,75,83,63,20,4,30,24,240,
Kavell Bigby-Williams,TOT,24,36,16,741,105,227,0.463,1,11,0.091,104,216,0.481,0.465,21,35,0.6,103,174,277,26,9,64,68,95,252,
Kavell Bigby-Williams,EBH,24,26,16,583,88,191,0.461,1,10,0.1,87,181,0.481,0.463,17,28,0.607,85,141,226,19,5,54,53,68,210,
Kavell Bigby-Williams,FWN,24,3,0,61,3,8,0.375,0,0,,3,8,0.375,0.375,1,3,0.333,6,12,18,1,1,3,7,7,8,
Kavell Bigby-Williams,SFL,24,7,0,97,14,28,0.5,0,1,0,14,27,0.519,0.5,3,4,0.75,12,21,33,6,3,7,8,20,34,
Goga Bitadze,FWN,20,6,6,225,47,104,0.452,11,31,0.355,36,73,0.493,0.505,6,9,0.667,26,54,80,25,4,19,13,24,115,
Wayne Blackshear,MAI,,34,1,549,78,161,0.484,27,83,0.325,51,78,0.654,0.568,10,16,0.625,29,62,91,21,12,9,28,55,201,
Keljin Blevins,NAS,24,35,0,564,56,140,0.4,12,45,0.267,44,95,0.463,0.443,15,17,0.882,28,71,99,36,14,8,22,35,150,
Jaron Blossomgame,TOT,26,42,24,1237,248,508,0.488,47,183,0.257,201,325,0.618,0.534,78,97,0.804,74,236,310,74,34,18,56,63,671,
Jaron Blossomgame,RGV,26,27,9,734,156,310,0.503,25,113,0.221,131,197,0.665,0.544,48,61,0.787,40,143,183,36,16,14,34,44,417,
Jaron Blossomgame,WCB,26,15,15,503,92,198,0.465,22,70,0.314,70,128,0.547,0.52,30,36,0.833,34,93,127,38,18,4,22,19,254,
Vander Blue,SCW,27,14,7,348,39,101,0.386,19,43,0.442,20,58,0.345,0.48,14,18,0.778,2,32,34,21,9,0,23,30,121,
Trevon Bluiett,SLC,25,41,15,1204,210,430,0.488,111,261,0.425,99,169,0.586,0.617,52,66,0.788,13,126,139,102,39,8,75,84,612,
Shannon Bogues,WIS,22,41,0,752,158,333,0.474,19,71,0.268,139,262,0.531,0.503,44,61,0.721,20,81,101,86,27,9,62,47,411,
John Bohannon,MAI,28,27,3,421,57,102,0.559,5,11,0.455,52,91,0.571,0.583,24,36,0.667,48,132,180,53,9,38,29,58,155,
Bol Bol,WCB,20,8,0,154,41,71,0.577,4,11,0.364,37,60,0.617,0.606,6,6,1,18,28,46,0,1,18,9,8,96,
Jonah Bolden,DEL,24,14,14,346,58,114,0.509,21,58,0.362,37,56,0.661,0.601,16,25,0.64,23,74,97,44,11,2,36,36,163,
Marques Bolden,CAN,21,38,27,720,150,250,0.6,2,11,0.182,148,239,0.619,0.604,39,53,0.736,93,163,256,44,15,56,58,60,369,
Tim Bond,WES,24,35,4,627,97,222,0.437,31,70,0.443,66,152,0.434,0.507,15,22,0.682,17,89,106,116,23,26,79,90,248,
Jordan Bone,GRR,22,31,30,986,202,472,0.428,77,203,0.379,125,269,0.465,0.51,47,61,0.77,16,85,101,219,28,2,93,60,544,
Phil Booth,CCG,24,36,11,776,140,343,0.408,56,172,0.326,84,171,0.491,0.49,36,45,0.8,22,73,95,88,33,6,48,74,398,
Brian Bowen II,FWN,21,29,28,983,155,356,0.435,45,133,0.338,110,223,0.493,0.499,75,86,0.872,50,174,224,50,27,24,45,54,468,
Ky Bowman,SCW,22,12,12,381,70,157,0.446,11,56,0.196,59,101,0.584,0.481,13,18,0.722,17,54,71,65,14,10,25,31,174,
Jacobi Boykins,TOT,24,34,12,873,162,378,0.429,102,272,0.375,60,106,0.566,0.563,22,33,0.667,22,89,111,45,31,14,46,70,461,
Jacobi Boykins,RGV,24,31,9,804,150,356,0.421,96,258,0.372,54,98,0.551,0.556,20,29,0.69,20,75,95,41,30,13,45,66,428,
Jacobi Boykins,SFL,24,3,3,69,12,22,0.545,6,14,0.429,6,8,0.75,0.682,2,4,0.5,2,14,16,4,1,1,1,4,33,
Jarrell Brantley,SLC,23,33,33,1070,234,454,0.515,53,159,0.333,181,295,0.614,0.574,64,86,0.744,38,213,251,122,48,15,98,91,621,
Ignas Brazdeikis,WES,21,24,24,803,194,388,0.5,45,131,0.344,149,257,0.58,0.558,46,67,0.687,42,131,173,70,15,9,63,63,502,
Oshae Brissett,RAP,21,30,21,834,151,364,0.415,35,133,0.263,116,231,0.502,0.463,56,78,0.718,63,132,195,49,28,22,47,69,441,
Armoni Brooks,CPS,21,42,4,880,163,366,0.445,95,239,0.397,68,127,0.535,0.575,19,24,0.792,12,125,137,51,28,10,40,62,448,
Barry Brown Jr.,IWA,23,43,13,1092,207,455,0.455,88,225,0.391,119,230,0.517,0.552,54,65,0.831,24,101,125,93,47,14,54,82,583,
Bryce Brown,MAI,22,34,34,994,186,427,0.436,125,295,0.424,61,132,0.462,0.582,29,40,0.725,17,110,127,83,30,6,75,64,546,
Chad Brown,TEX,,42,37,770,98,191,0.513,0,0,,98,191,0.513,0.513,23,46,0.5,97,161,258,37,15,37,40,98,231,
Charlie Brown Jr.,CPS,22,28,28,932,176,415,0.424,32,125,0.256,144,290,0.497,0.463,59,68,0.868,35,154,189,82,44,36,73,74,484,
Jabari Brown,RGV,27,8,0,90,12,40,0.3,7,33,0.212,5,7,0.714,0.388,9,11,0.818,1,8,9,5,6,0,5,6,49,
Jared Brownridge,DEL,25,42,7,1022,228,515,0.443,138,358,0.385,90,157,0.573,0.577,30,42,0.714,16,89,105,87,30,1,38,64,644,
Markel Brown,OKL,28,28,6,634,94,215,0.437,77,185,0.416,17,30,0.567,0.616,27,34,0.794,14,75,89,76,16,5,29,33,315,
Moses Brown,TEX,20,30,0,576,183,283,0.647,0,1,0,183,282,0.649,0.647,40,74,0.541,120,111,231,5,16,39,60,81,435,
Vitto Brown,EBH,24,42,30,1220,221,475,0.465,97,254,0.382,124,221,0.561,0.567,60,74,0.811,67,205,272,68,24,43,79,114,641,
Michael Bryson,DEL,25,31,1,506,72,181,0.398,30,85,0.353,42,96,0.438,0.481,10,15,0.667,9,60,69,36,14,9,40,67,193,
Shaq Buchanan,MHU,23,33,11,740,142,298,0.477,39,104,0.375,103,194,0.531,0.542,24,40,0.6,55,106,161,48,29,7,32,52,366,
Trahson Burrell,TEX,27,31,0,615,98,223,0.439,24,88,0.273,74,135,0.548,0.493,25,36,0.694,42,106,148,61,38,15,34,53,263,
Deonte Burton,SLC,28,26,11,419,39,95,0.411,10,24,0.417,29,71,0.408,0.463,6,14,0.429,1,24,25,38,16,8,22,40,98,
Deonte Burton,OKL,26,11,11,369,61,142,0.43,17,59,0.288,44,83,0.53,0.489,10,14,0.714,8,71,79,43,9,13,25,21,158,
Bruno Caboclo,MHU,24,2,2,50,9,17,0.529,1,6,0.167,8,11,0.727,0.559,2,2,1,1,7,8,7,3,6,3,5,23,
Devontae Cacok,SBL,23,33,2,788,268,406,0.66,0,1,0,268,405,0.662,0.66,62,107,0.579,139,253,392,27,37,12,68,106,638,
Perrion Callandret,WCB,24,31,0,270,19,55,0.345,1,13,0.077,18,42,0.429,0.355,7,11,0.636,12,41,53,36,8,5,22,30,53,
Isaiah Canaan,STO,28,30,17,938,211,486,0.434,110,265,0.415,101,221,0.457,0.547,70,86,0.814,22,93,115,180,32,0,76,65,643,
Vlatko Cancar,EBH,22,10,5,287,50,118,0.424,24,61,0.393,26,57,0.456,0.525,11,14,0.786,17,45,62,27,9,1,26,30,144,
Devin Cannady,LIN,23,39,29,1208,192,469,0.409,113,316,0.358,79,153,0.516,0.53,53,57,0.93,28,125,153,107,44,13,71,69,565,
Jordan Caroline,SBL,24,15,0,326,60,152,0.395,19,45,0.422,41,107,0.383,0.457,21,37,0.568,38,83,121,39,9,5,27,35,176,
Tony Carr,EBH,,14,5,321,48,101,0.475,14,45,0.311,34,56,0.607,0.545,14,18,0.778,6,31,37,41,11,4,18,25,130,
Dontay Caruthers,ACC,,2,1,38,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,0,4,4,4,1,1,2,5,2,
Kyle Castlin,SLC,,11,0,152,21,41,0.512,1,9,0.111,20,32,0.625,0.524,6,8,0.75,6,22,28,7,4,2,8,12,51,
Ahmad Caver,MHU,23,39,2,952,137,318,0.431,38,123,0.309,99,195,0.508,0.491,46,62,0.742,22,105,127,146,46,18,45,69,388,
Joe Chealey,GBO,24,34,24,962,121,305,0.397,36,106,0.34,85,199,0.427,0.456,62,76,0.816,24,88,112,149,34,4,63,93,381,
Zylan Cheatham,EBH,24,34,30,1107,203,385,0.527,29,88,0.33,174,297,0.586,0.565,71,96,0.74,114,288,402,92,30,24,98,92,552,
Quinton Chievous,EBH,27,18,1,250,28,60,0.467,9,24,0.375,19,36,0.528,0.542,8,11,0.727,11,35,46,13,7,1,12,35,79,
Chris Chiozza,TOT,24,20,19,629,89,233,0.382,39,127,0.307,50,106,0.472,0.466,18,23,0.783,14,79,93,125,46,6,63,46,240,
Chris Chiozza,CCG,24,10,9,311,38,115,0.33,22,67,0.328,16,48,0.333,0.426,7,7,1,4,32,36,66,27,2,31,24,107,
Chris Chiozza,LIN,24,10,10,318,51,118,0.432,17,60,0.283,34,58,0.586,0.504,11,16,0.688,10,47,57,59,19,4,32,22,133,
Gary Clark,RGV,25,4,4,147,28,77,0.364,15,48,0.313,13,29,0.448,0.461,5,7,0.714,5,18,23,10,10,4,4,16,80,
Nicolas Claxton,LIN,,9,5,191,56,85,0.659,10,18,0.556,46,67,0.687,0.718,16,21,0.762,16,50,66,13,7,11,7,18,150,
Chris Clemons,RGV,22,14,12,478,104,263,0.395,55,167,0.329,49,96,0.51,0.5,47,55,0.855,6,47,53,82,26,1,34,46,338,
Antonius Cleveland,TEX,25,36,36,1112,207,417,0.496,33,109,0.303,174,308,0.565,0.536,45,75,0.6,79,185,264,85,57,33,67,126,519,
Dennis Clifford,DEL,27,8,2,151,11,22,0.5,0,0,,11,22,0.5,0.5,3,10,0.3,8,36,44,13,5,7,15,21,28,
Mike Cobbins,CCG,27,35,22,840,157,237,0.662,0,1,0,157,236,0.665,0.662,32,51,0.627,98,133,231,29,19,21,44,86,368,
Phil Cofer,TOT,,28,3,339,35,97,0.361,5,30,0.167,30,67,0.448,0.387,4,8,0.5,21,51,72,17,7,8,20,17,83,
Phil Cofer,CPS,,23,2,248,21,65,0.323,4,21,0.19,17,44,0.386,0.354,2,6,0.333,14,40,54,13,4,7,17,12,50,
Phil Cofer,LIN,,1,0,15,2,7,0.286,0,1,0,2,6,0.333,0.286,0,0,,4,1,5,0,0,0,2,1,4,
Phil Cofer,MHU,,4,1,76,12,25,0.48,1,8,0.125,11,17,0.647,0.5,2,2,1,3,10,13,4,3,1,1,4,29,
Amir Coffey,ACC,22,16,10,436,84,174,0.483,30,75,0.4,54,99,0.545,0.569,23,32,0.719,6,34,40,40,17,5,20,24,236,
Kyle Collinsworth,SLC,28,25,19,671,101,192,0.526,12,38,0.316,89,154,0.578,0.557,18,30,0.6,39,111,150,78,22,7,46,48,240,
Tyler Cook,TOT,22,29,10,617,146,251,0.582,0,4,0,146,247,0.591,0.582,47,79,0.595,56,109,165,36,16,11,63,53,373,
Tyler Cook,CAN,22,22,10,488,117,197,0.594,0,3,0,117,194,0.603,0.594,34,63,0.54,47,83,130,25,14,7,53,43,292,
Tyler Cook,OKL,22,7,0,129,29,54,0.537,0,1,0,29,53,0.547,0.537,13,16,0.813,9,26,35,11,2,4,10,10,81,
Isaac Copeland,TEX,24,14,0,134,9,41,0.22,2,19,0.105,7,22,0.318,0.244,2,3,0.667,10,11,21,3,2,2,2,9,24,
Markel Crawford,ACC,25,36,17,903,136,335,0.406,71,194,0.366,65,141,0.461,0.512,23,31,0.742,10,71,81,76,47,11,36,71,384,
Joe Cremo,LIN,,18,0,308,27,82,0.329,17,50,0.34,10,32,0.313,0.433,12,13,0.923,5,26,31,46,11,0,22,30,91,
