Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Hassani Gravett,RAP,26,9,1,176,18,42,0.429,4,18,0.222,14,24,0.583,0.476,5,5,1,4,18,22,25,3,0,10,20,47,
Marcus Graves,GLI,26,14,2,265,29,76,0.382,11,33,0.333,18,43,0.419,0.454,10,14,0.714,7,24,31,55,16,2,15,29,87,
Jaire Grayer,WIS,26,2,0,34,5,9,0.556,1,1,1,4,8,0.5,0.611,1,1,1,0,3,3,3,5,1,3,6,12,
RaiQuan Gray,LIN,23,7,7,206,44,77,0.571,4,13,0.308,40,64,0.625,0.597,8,11,0.727,11,39,50,20,6,5,18,20,108,
AJ Green,WIS,28,5,5,158,39,81,0.481,21,51,0.412,18,30,0.6,0.611,3,3,1,7,14,21,14,6,1,6,8,103,
Mouhamadou Gueye,TEX,24,7,0,122,28,45,0.622,0,5,0,28,40,0.7,0.622,7,12,0.583,13,24,37,8,2,13,12,12,69,
Ashton Hagans,GBO,23,19,3,379,55,102,0.539,11,25,0.44,44,77,0.571,0.593,15,23,0.652,9,43,52,87,16,3,39,43,147,
Tyler Hagedorn,TOT,26,7,0,107,14,34,0.412,5,16,0.313,9,18,0.5,0.485,2,2,1,4,14,18,5,2,2,1,12,37,
Tyler Hagedorn,AUS,26,2,0,23,1,4,0.25,0,2,0,1,2,0.5,0.25,1,1,1,1,4,5,1,1,1,0,1,4,
Jermaine Haley,CLC,30,4,0,84,6,17,0.353,0,3,0,6,14,0.429,0.353,0,0,0.8,13,2,15,11,3,1,3,6,12,
Josh Hall,GRG,22,1,0,5,0,2,0,0,0,,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,
Jordan Hall,AUS,21,16,12,443,45,134,0.336,28,75,0.373,17,59,0.288,0.44,17,21,0.81,10,69,79,66,14,8,36,40,144,
Tyler Hall,TEX,25,18,12,615,95,215,0.442,74,178,0.416,21,37,0.568,0.614,14,16,0.875,11,57,68,28,10,1,22,25,287,
Bryce Hamilton,SBL,24,19,18,563,116,236,0.492,27,78,0.346,89,158,0.563,0.549,15,21,0.714,15,77,92,33,18,6,16,37,283,
